date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:32:07	15683/15683	---M-Z	200	added ('OK')	application/javascript	etag:%22160501-3d43-53e3836d489c5%22	http://www.utah.edu/_scripts/main.js	C:/My%20Web%20Sites/utah/www.utah.edu/_scripts/main.js	(from http://www.utah.edu/)
05:32:07	23246/23246	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:07%20GMT	http://www.utah.edu/faculty/	C:/My%20Web%20Sites/utah/www.utah.edu/faculty/index.html	(from http://www.utah.edu/)
05:32:07	1431/1431	---M-Z	200	added ('OK')	application/javascript	etag:%221602b7-597-53e3836d489c5%22	http://www.utah.edu/_scripts/u-light.js	C:/My%20Web%20Sites/utah/www.utah.edu/_scripts/u-light.js	(from http://www.utah.edu/)
05:32:07	21187/21187	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:07%20GMT	http://www.utah.edu/staff/	C:/My%20Web%20Sites/utah/www.utah.edu/staff/index.html	(from http://www.utah.edu/)
05:32:08	258/258	---M-Z	200	added ('OK')	application/javascript	etag:%22160224-102-53e3836d42c05%22	http://www.utah.edu/_resources/js/directedit.js	C:/My%20Web%20Sites/utah/www.utah.edu/_resources/js/directedit.js	(from http://www.utah.edu/)
05:32:08	21418/21418	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:08%20GMT	http://www.utah.edu/visitors/	C:/My%20Web%20Sites/utah/www.utah.edu/visitors/index.html	(from http://www.utah.edu/)
05:32:09	19259/19259	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:08%20GMT	http://www.utah.edu/diversity/	C:/My%20Web%20Sites/utah/www.utah.edu/diversity/index.html	(from http://www.utah.edu/)
05:32:09	144269/144269	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:09%20GMT	http://www.utah.edu/a-z/	C:/My%20Web%20Sites/utah/www.utah.edu/a-z/index.html	(from http://www.utah.edu/)
05:32:10	21728/21728	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:09%20GMT	http://www.utah.edu/about/	C:/My%20Web%20Sites/utah/www.utah.edu/about/index.html	(from http://www.utah.edu/)
05:32:10	17525/17525	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:10%20GMT	http://www.utah.edu/events/	C:/My%20Web%20Sites/utah/www.utah.edu/events/index.html	(from http://www.utah.edu/)
05:32:11	92627/92627	---M-Z	200	added ('OK')	application/javascript	etag:%22160309-169d3-53e3836d489c5%22	http://www.utah.edu/_scripts/vendor/jquery-1.9.1.min.js	C:/My%20Web%20Sites/utah/www.utah.edu/_scripts/vendor/jquery-1.9.1.min.js	(from http://www.utah.edu/)
05:32:11	5070/5070	---M--	200	added ('OK')	image/png	etag:%2216014a-13ce-53e3836ca19e5%22	http://www.utah.edu/_images/sprite_ulogo.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/sprite_ulogo.png	(from http://www.utah.edu/_css/main.css)
05:32:11	19082/19082	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:11%20GMT	http://www.utah.edu/disclaimer/	C:/My%20Web%20Sites/utah/www.utah.edu/disclaimer/index.html	(from http://www.utah.edu/)
05:32:11	16369/16369	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:11%20GMT	http://www.utah.edu/nondiscrimination/	C:/My%20Web%20Sites/utah/www.utah.edu/nondiscrimination/index.html	(from http://www.utah.edu/)
05:32:12	23346/23346	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:12%20GMT	http://www.utah.edu/privacy/	C:/My%20Web%20Sites/utah/www.utah.edu/privacy/index.html	(from http://www.utah.edu/)
05:32:12	15969/15969	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:12%20GMT	http://www.utah.edu/contact/	C:/My%20Web%20Sites/utah/www.utah.edu/contact/index.html	(from http://www.utah.edu/)
05:32:13	4119/4119	---M--	200	added ('OK')	image/png	etag:%22160237-1017-53e3836ca19e5%22	http://www.utah.edu/_images/sprite_tools.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/sprite_tools.png	(from http://www.utah.edu/_css/main.css)
05:32:21	92629/92629	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/My%20Web%20Sites/utah/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from http://www.utah.edu/)
05:32:22	211/211	---M--	200	added ('OK')	image/png	etag:%221601c2-d3-53e3836c97da5%22	http://www.utah.edu/_images/bg_top_nav_color.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/bg_top_nav_color.png	(from http://www.utah.edu/_css/main.css)
05:32:22	53466/53466	---M--	200	added ('OK')	image/jpeg	etag:%221603d9-d0da-53e3836cb5265%22	http://www.utah.edu/_images/home/banners/sml_banner1.jpg	C:/My%20Web%20Sites/utah/www.utah.edu/_images/home/banners/sml_banner1.jpg	(from http://www.utah.edu/_css/main.css)
05:32:22	59127/59127	---M--	200	added ('OK')	image/png	etag:%22160108-e6f7-53e3836ca19e5%22	http://www.utah.edu/_images/sprite_elements.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/sprite_elements.png	(from http://www.utah.edu/_css/main.css)
05:32:22	801/801	---M--	200	added ('OK')	image/png	etag:%221601ba-321-53e3836c97da5%22	http://www.utah.edu/_images/bg_header_extent.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/bg_header_extent.png	(from http://www.utah.edu/_css/main.css)
05:32:23	1909/1909	---M--	200	added ('OK')	image/png	etag:%221604e0-775-53e3836d40cc5%22	http://www.utah.edu/_images/u-light/close.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/u-light/close.png	(from http://www.utah.edu/_css/u-light.css)
05:32:25	11394/11394	---M--	200	added ('OK')	image/gif	etag:%2216025a-2c82-53e3836d40cc5%22	http://www.utah.edu/_images/u-light/light-the-U-white.gif	C:/My%20Web%20Sites/utah/www.utah.edu/_images/u-light/light-the-U-white.gif	(from http://www.utah.edu/_css/u-light.css)
05:32:27	12583/12583	---M--	200	added ('OK')	image/gif	etag:%221600ec-3127-53e3836d40cc5%22	http://www.utah.edu/_images/u-light/light-the-U-white-blink.gif	C:/My%20Web%20Sites/utah/www.utah.edu/_images/u-light/light-the-U-white-blink.gif	(from http://www.utah.edu/_css/u-light.css)
05:32:29	10915/10915	---M--	200	added ('OK')	image/gif	etag:%221604e2-2aa3-53e3836d40cc5%22	http://www.utah.edu/_images/u-light/light-the-U-red.gif	C:/My%20Web%20Sites/utah/www.utah.edu/_images/u-light/light-the-U-red.gif	(from http://www.utah.edu/_css/u-light.css)
05:32:31	172608/172608	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Aug%202016%2019:41:59%20GMT	http://www.trumba.com/i/DgBBgkoc5HpdFFAobP0uHnMw.jpeg	C:/My%20Web%20Sites/utah/www.trumba.com/i/DgBBgkoc5HpdFFAobP0uHnMw.jpg	(from http://www.utah.edu/)
05:32:31	1519/1519	---M--	200	added ('OK')	image/png	etag:%221f9-5ef-53d7ff742ebe9%22	http://templates.utah.edu/_main-v2/_images/apple-touch-icon.png	C:/My%20Web%20Sites/utah/templates.utah.edu/_main-v2/_images/apple-touch-icon.png	(from http://www.utah.edu/academics/)
